out:Span,out:Height,out:Material frame,out:Material interm ,out:Width,out:Height column-base,out:Height column-corner,out:Height beam-corner,out:Height beam-apex,out:SI column-base,out:SI corner,out:SI beam-apex,out:SI interm -base,out:Material bracing,out:Area bracing,out:Height interm ,out:Spacing interm ,out:Pitch,out:No  interm ,out:Corner deflection,out:Max deflection,img,in:CurrentObject
27.83176,6.896028,10.797292,12.23774,209.053271,606.891811,1776.234904,1809.652208,1165.839278,0.000207,1.112678,0.06893,13.118065,210,340.2226,571.568084,2.730495,4.491644,0,9.476709,9.477,CurrentObject82_GH_Print.png,82
22.522419,4.262247,12.86648,12.597708,193.509795,1371.715563,850.924615,1004.128491,1665.702983,11.053273,19.949958,0.035642,23.138789,210,173.177221,570.436857,2.337077,22.351231,1,1.440219,1.765587,CurrentObject83_GH_Print.png,83
62.404872,2.69114,13.427886,9.763679,211.557988,1619.323892,1687.890038,1590.852073,1187.860776,0.021748,5.180421,1.049957,0.258026,210,333.727922,407.207231,6.430186,14.845619,3,1.388102,1.817203,CurrentObject84_GH_Print.png,84
47.309569,5.600579,11.499711,9.040068,131.957611,1173.500864,1798.013451,814.434732,1346.645593,0.000011,0.178917,0.898998,0.787189,10.028484,26334.05468,281.769071,10.49022,12.424696,0,172.309581,193.817258,CurrentObject85_GH_Print.png,85
50.20039,6.04756,11.800268,10.245429,186.959521,664.190698,727.322649,1116.65358,1361.736744,10.755684,0.003873,0.000127,18.324951,210,1314.20155,247.29041,5.553276,4.200153,1,4.383661,4.430398,CurrentObject86_GH_Print.png,86
42.9182,3.198026,10.545715,9.195401,127.082626,1178.160063,1576.348027,1439.685916,1769.238583,4.151451,23.414783,16.136359,3.976553,210,486.819589,376.387075,3.636146,21.040344,3,1.487609,2.096795,CurrentObject87_GH_Print.png,87
43.346156,6.799423,13.139783,11.808006,154.156781,1267.690133,1627.840692,1375.672381,589.819784,22.587202,3.58333,0.628181,0.003091,10.81464,19030.49821,392.768375,6.951375,2.463906,2,0.931321,1.003,CurrentObject88_GH_Print.png,88
57.548586,4.969331,13.025146,13.031474,214.002677,1171.748675,1568.466881,1717.965959,1647.809992,20.420444,1.423797,9.970703,0.379863,210,801.19424,605.120857,6.094112,19.865801,1,2.145529,4.964095,CurrentObject89_GH_Print.png,89
36.758648,6.029158,10.711962,12.896827,213.481959,1352.299641,392.794427,1158.469969,590.800009,30.484012,20.634104,28.682736,0.000015,210,619.923481,626.397288,3.109398,10.18084,2,2.642845,3.191946,CurrentObject90_GH_Print.png,90
34.959389,3.164289,13.103305,9.710983,188.827751,1629.168823,1685.245282,1757.486016,752.543909,0.35286,6.51749,0.024813,30.004118,12.705201,14059.40629,558.07767,8.130381,11.41584,1,0.557951,0.718649,CurrentObject91_GH_Print.png,91
13.330949,5.496198,13.216216,11.017581,208.052305,1641.250509,896.108059,1009.959055,1532.492511,13.176562,1.796942,5.057241,26.657951,210,1289.461082,580.214231,2.954201,2.801063,0,0.753539,0.76,CurrentObject92_GH_Print.png,92
42.046236,5.862627,12.881908,9.019522,152.374955,1436.594722,1487.354509,1321.220671,1021.357972,3.952655,8.812421,6.989887,38.491335,13.157551,17406.72326,406.55796,7.525445,20.765257,0,13.384835,24.229179,CurrentObject93_GH_Print.png,93
39.363417,4.632634,12.326431,10.761276,192.399899,607.518318,1736.058898,367.523279,978.286495,33.511971,0.020145,0.265856,6.346884,210,327.398832,572.960015,5.60873,7.319544,2,1.735286,1.822213,CurrentObject94_GH_Print.png,94
21.313796,4.768395,13.293862,13.792604,142.349497,1183.222871,428.488078,1241.384472,1413.788111,0.009765,13.511299,0.095899,39.024452,210,1023.580264,418.558844,3.452511,19.168523,2,2.142522,2.313,CurrentObject95_GH_Print.png,95
21.975402,6.614002,11.637482,13.755707,205.002227,1597.780543,1663.296709,831.853591,991.767692,0.595933,12.441657,30.197622,0.996946,210,187.229876,584.015234,3.515513,3.474339,0,4.125849,4.126,CurrentObject96_GH_Print.png,96
8.512313,5.739717,12.009225,11.782497,177.807738,1570.327871,1286.354727,1470.151333,1432.617152,27.572008,24.41226,9.400781,36.483454,210,1355.564867,507.704493,1.921948,22.184862,0,1.362902,1.397092,CurrentObject97_GH_Print.png,97
28.235938,5.211817,12.230347,8.577062,205.694985,1783.633678,1025.094295,769.27608,1277.305838,4.509009,38.56642,23.937055,1.436697,8.679117,12325.40501,600.569124,3.69812,23.609999,0,3.493408,6.766358,CurrentObject98_GH_Print.png,98
44.212128,6.781125,12.228401,13.223776,190.462251,1634.011156,1323.538352,686.714731,1435.983071,39.787323,4.680785,0.079448,35.802616,11.210481,25346.53013,468.074478,7.73476,24.236144,1,1.756354,4.577183,CurrentObject99_GH_Print.png,99
36.621432,5.957245,10.587427,9.49915,193.297337,1098.866136,446.172195,641.528092,1106.119171,20.347051,0.009739,6.10321,3.335487,210,574.140281,465.251659,8.037944,24.093285,0,13.980848,43.223737,CurrentObject100_GH_Print.png,100
56.495976,6.395377,11.202599,11.704262,210.376574,1750.831255,653.179861,1137.408187,510.545602,0.893473,6.424117,8.316088,0.004951,10.570417,12856.09058,550.399917,5.772494,22.323371,3,4.653949,8.423161,CurrentObject101_GH_Print.png,101
22.746204,5.306101,11.264438,10.767543,162.965081,761.072386,1505.287078,751.369364,1256.059314,1.450335,0.00333,32.948989,27.773655,210,1575.691094,393.773117,3.325586,5.849145,1,0.895557,0.953,CurrentObject102_GH_Print.png,102
35.055947,6.506997,12.89378,14.041141,186.225835,1811.798752,721.10307,862.17901,414.932304,8.048991,9.854921,0.000297,18.504346,9.905843,24291.34605,503.292604,5.252379,23.255785,1,1.771376,10.027563,CurrentObject103_GH_Print.png,103
31.180271,4.686274,10.778332,10.177377,183.44452,1055.085148,1277.244165,605.753247,1403.382013,0.02145,4.275563,9.613601,0.054777,210,335.978239,548.389947,2.598615,9.551144,1,4.031041,4.336047,CurrentObject104_GH_Print.png,104
32.309046,3.349425,11.136679,13.868697,179.807211,1452.735879,1834.179038,1058.811307,1633.833637,0.015256,6.622153,25.389149,7.47E-06,9.9842,17266.33201,527.053027,4.789623,15.302724,0,11.152159,14.055237,CurrentObject105_GH_Print.png,105
8.926837,4.620222,10.435282,12.215714,213.424066,536.322621,1474.603411,1076.758226,1758.161805,14.588802,6.187021,20.351104,8.872389,210,633.689932,557.957745,1.426298,10.511053,0,1.848788,1.859774,CurrentObject106_GH_Print.png,106
49.847233,6.790698,13.376957,11.558557,179.647245,1495.425416,1715.042376,1569.067268,1217.322079,0.677308,35.409924,9.711681,5.071456,210,622.835243,495.064037,6.073723,22.627938,3,5.358769,5.663872,CurrentObject107_GH_Print.png,107
40.794908,6.933926,12.000949,12.883293,198.800753,1553.023078,1551.2468,1243.892871,889.38533,23.279468,6.7084,1.251295,5.646515,210,1089.746708,512.700023,9.529805,6.040027,1,1.010269,1.041135,CurrentObject108_GH_Print.png,108
