in:Length,in:Stiffness index,in:Strength class,in:CC Height,out:Transverse flexibility Te,out:Transverse flexibility,img
6,1,C22,70,964.613237,964.798,Length6_Stiffnessindex1_StrengthclassC22_CCHeight70_GH_Print.png
7,1,C22,70,1785.727886,1786.05,Length7_Stiffnessindex1_StrengthclassC22_CCHeight70_GH_Print.png
8,1,C22,70,3044.892322,3045.396,Length8_Stiffnessindex1_StrengthclassC22_CCHeight70_GH_Print.png
3,3,C22,70,41.47836,41.488,Length3_Stiffnessindex3_StrengthclassC22_CCHeight70_GH_Print.png
4,3,C22,70,130.151638,130.182,Length4_Stiffnessindex3_StrengthclassC22_CCHeight70_GH_Print.png
5,3,C22,70,316.690276,316.762,Length5_Stiffnessindex3_StrengthclassC22_CCHeight70_GH_Print.png
6,3,C22,70,655.491879,655.637,Length6_Stiffnessindex3_StrengthclassC22_CCHeight70_GH_Print.png
7,3,C22,70,1213.042409,1213.301,Length7_Stiffnessindex3_StrengthclassC22_CCHeight70_GH_Print.png
8,3,C22,70,2067.916181,2068.336,Length8_Stiffnessindex3_StrengthclassC22_CCHeight70_GH_Print.png
3,8,C22,70,30.191364,30.199,Length3_Stiffnessindex8_StrengthclassC22_CCHeight70_GH_Print.png
4,8,C22,70,94.479154,94.503,Length4_Stiffnessindex8_StrengthclassC22_CCHeight70_GH_Print.png
5,8,C22,70,229.59925,229.658,Length5_Stiffnessindex8_StrengthclassC22_CCHeight70_GH_Print.png
6,8,C22,70,474.899929,475.019,Length6_Stiffnessindex8_StrengthclassC22_CCHeight70_GH_Print.png
7,8,C22,70,878.473524,878.689,Length7_Stiffnessindex8_StrengthclassC22_CCHeight70_GH_Print.png
8,8,C22,70,1497.156435,1497.513,Length8_Stiffnessindex8_StrengthclassC22_CCHeight70_GH_Print.png
3,16,C22,70,24.516494,24.523,Length3_Stiffnessindex16_StrengthclassC22_CCHeight70_GH_Print.png
4,16,C22,70,76.543764,76.565,Length4_Stiffnessindex16_StrengthclassC22_CCHeight70_GH_Print.png
5,16,C22,70,185.811679,185.863,Length5_Stiffnessindex16_StrengthclassC22_CCHeight70_GH_Print.png
6,16,C22,70,384.10202,384.208,Length6_Stiffnessindex16_StrengthclassC22_CCHeight70_GH_Print.png
7,16,C22,70,710.25919,710.451,Length7_Stiffnessindex16_StrengthclassC22_CCHeight70_GH_Print.png
8,16,C22,70,1210.190207,1210.511,Length8_Stiffnessindex16_StrengthclassC22_CCHeight70_GH_Print.png
3,27,C22,70,21.597257,21.604,Length3_Stiffnessindex27_StrengthclassC22_CCHeight70_GH_Print.png
4,27,C22,70,67.317533,67.337,Length4_Stiffnessindex27_StrengthclassC22_CCHeight70_GH_Print.png
5,27,C22,70,163.286699,163.335,Length5_Stiffnessindex27_StrengthclassC22_CCHeight70_GH_Print.png
6,27,C22,70,337.394221,337.493,Length6_Stiffnessindex27_StrengthclassC22_CCHeight70_GH_Print.png
7,27,C22,70,623.727226,623.907,Length7_Stiffnessindex27_StrengthclassC22_CCHeight70_GH_Print.png
8,27,C22,70,1062.570496,1062.872,Length8_Stiffnessindex27_StrengthclassC22_CCHeight70_GH_Print.png
3,43,C22,70,19.997123,20.003,Length3_Stiffnessindex43_StrengthclassC22_CCHeight70_GH_Print.png
4,43,C22,70,62.260318,62.279,Length4_Stiffnessindex43_StrengthclassC22_CCHeight70_GH_Print.png
5,43,C22,70,150.939984,150.986,Length5_Stiffnessindex43_StrengthclassC22_CCHeight70_GH_Print.png
6,43,C22,70,311.792074,311.887,Length6_Stiffnessindex43_StrengthclassC22_CCHeight70_GH_Print.png
7,43,C22,70,576.296087,576.469,Length7_Stiffnessindex43_StrengthclassC22_CCHeight70_GH_Print.png
8,43,C22,70,981.655067,981.945,Length8_Stiffnessindex43_StrengthclassC22_CCHeight70_GH_Print.png
3,64,C22,70,19.061516,19.067,Length3_Stiffnessindex64_StrengthclassC22_CCHeight70_GH_Print.png
4,64,C22,70,59.303338,59.322,Length4_Stiffnessindex64_StrengthclassC22_CCHeight70_GH_Print.png
5,64,C22,70,143.720794,143.766,Length5_Stiffnessindex64_StrengthclassC22_CCHeight70_GH_Print.png
6,64,C22,70,296.822362,296.915,Length6_Stiffnessindex64_StrengthclassC22_CCHeight70_GH_Print.png
7,64,C22,70,548.562847,548.732,Length7_Stiffnessindex64_StrengthclassC22_CCHeight70_GH_Print.png
8,64,C22,70,934.343385,934.627,Length8_Stiffnessindex64_StrengthclassC22_CCHeight70_GH_Print.png
3,0,C24,70,75.148731,75.163,Length3_Stiffnessindex0_StrengthclassC24_CCHeight70_GH_Print.png
4,0,C24,70,236.648415,236.693,Length4_Stiffnessindex0_StrengthclassC24_CCHeight70_GH_Print.png
5,0,C24,70,576.784585,576.89,Length5_Stiffnessindex0_StrengthclassC24_CCHeight70_GH_Print.png
6,0,C24,70,1194.927532,1195.133,Length6_Stiffnessindex0_StrengthclassC24_CCHeight70_GH_Print.png
7,0,C24,70,2212.529833,2212.878,Length7_Stiffnessindex0_StrengthclassC24_CCHeight70_GH_Print.png
8,0,C24,70,3773.12635,3773.65,Length8_Stiffnessindex0_StrengthclassC24_CCHeight70_GH_Print.png
3,1,C24,70,55.274002,55.286,Length3_Stiffnessindex1_StrengthclassC24_CCHeight70_GH_Print.png
4,1,C24,70,173.834458,173.87,Length4_Stiffnessindex1_StrengthclassC24_CCHeight70_GH_Print.png
5,1,C24,70,423.430199,423.515,Length5_Stiffnessindex1_StrengthclassC24_CCHeight70_GH_Print.png
6,1,C24,70,876.931878,877.102,Length6_Stiffnessindex1_StrengthclassC24_CCHeight70_GH_Print.png
