Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
6.000000,4.000000,2.000000,7.468463,7.026993,1.003856
6.000000,4.000000,8.000000,0.715879,1.018361,0.145480
6.000000,4.000000,10.000000,0.095651,0.080357,0.011480
6.000000,4.000000,12.000000,0.192794,0.070851,0.010122
6.000000,4.000000,14.000000,0.088193,0.063125,0.009018
6.000000,4.000000,16.000000,0.034706,0.062112,0.008873
6.000000,4.000000,20.000000,0.226560,0.087486,0.012498
6.000000,5.000000,2.000000,7.055798,8.531667,1.218810
6.000000,5.000000,8.000000,0.286769,0.500299,0.071471
6.000000,5.000000,10.000000,0.477651,0.832017,0.118860
6.000000,5.000000,12.000000,0.101113,0.312812,0.044687
6.000000,5.000000,14.000000,0.022667,0.125174,0.017882
6.000000,5.000000,16.000000,0.074540,0.175287,0.025041
6.000000,5.000000,20.000000,0.066582,0.217327,0.031047
6.000000,6.000000,2.000000,7.187829,7.161331,1.023047
6.000000,6.000000,8.000000,0.135398,0.184089,0.026298
6.000000,6.000000,10.000000,0.429552,0.708255,0.101179
6.000000,6.000000,12.000000,0.095125,0.165750,0.023679
6.000000,6.000000,14.000000,0.141220,0.259252,0.037036
6.000000,6.000000,16.000000,0.097504,0.173149,0.024736
6.000000,6.000000,20.000000,0.072468,0.144879,0.020697
7.000000,0.000000,2.000000,6.859605,11.940845,1.705835
7.000000,0.000000,8.000000,0.306723,0.625842,0.089406
7.000000,0.000000,10.000000,0.093273,0.190265,0.027181
7.000000,0.000000,12.000000,0.162438,0.196159,0.028023
7.000000,0.000000,14.000000,0.281634,0.265896,0.037985
7.000000,0.000000,16.000000,0.090598,0.169542,0.024220
7.000000,0.000000,20.000000,0.235787,0.308573,0.044082
7.000000,1.000000,2.000000,7.667409,6.404643,0.914949
7.000000,1.000000,8.000000,0.317083,0.342147,0.048878
7.000000,1.000000,10.000000,0.050143,0.043596,0.006228
7.000000,1.000000,12.000000,0.058156,0.062521,0.008932
7.000000,1.000000,14.000000,0.092921,0.113783,0.016255
7.000000,1.000000,16.000000,0.017460,0.021837,0.003120
7.000000,1.000000,20.000000,0.039729,0.056911,0.008130
7.000000,2.000000,2.000000,7.430143,7.618176,1.088311
7.000000,2.000000,8.000000,0.407601,0.541531,0.077362
7.000000,2.000000,10.000000,0.102183,0.144665,0.020666
7.000000,2.000000,12.000000,0.100059,0.180343,0.025763
7.000000,2.000000,14.000000,0.018928,0.070212,0.010030
7.000000,2.000000,16.000000,0.020483,0.073890,0.010556
7.000000,2.000000,20.000000,0.157841,0.180570,0.025796
7.000000,3.000000,2.000000,7.162454,7.081107,1.011587
7.000000,3.000000,8.000000,0.654864,0.626013,0.089430
7.000000,3.000000,10.000000,0.701080,0.318806,0.045544
7.000000,3.000000,12.000000,1.436893,0.834802,0.119257
7.000000,3.000000,14.000000,0.033052,0.042774,0.006111
7.000000,3.000000,16.000000,0.032223,0.043972,0.006282
7.000000,3.000000,20.000000,0.096330,0.084344,0.012049
7.000000,4.000000,2.000000,7.536789,8.288614,1.184088
7.000000,4.000000,8.000000,0.103784,0.219155,0.031308
7.000000,4.000000,10.000000,0.128502,0.402570,0.057510
7.000000,4.000000,12.000000,0.227445,0.687461,0.098209
7.000000,4.000000,14.000000,0.047173,0.140976,0.020139
7.000000,4.000000,16.000000,0.031244,0.047113,0.006730
7.000000,4.000000,20.000000,0.039630,0.103567,0.014795
7.000000,5.000000,2.000000,7.483837,6.806571,0.972367
7.000000,5.000000,8.000000,0.235122,0.301443,0.043063
7.000000,5.000000,10.000000,0.571167,0.876514,0.125216
7.000000,5.000000,12.000000,0.063882,0.067501,0.009643
7.000000,5.000000,14.000000,0.139530,0.291746,0.041678
7.000000,5.000000,16.000000,0.098546,0.222482,0.031783
7.000000,5.000000,20.000000,0.021574,0.031880,0.004554
7.000000,6.000000,2.000000,8.238029,5.910217,0.844317
