Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
7.000000,5.000000,28.000000,0.034719,0.257603,0.036803
7.000000,6.000000,2.000000,0.552759,0.510957,0.072960
7.000000,6.000000,8.000000,0.143721,0.161896,0.023117
7.000000,6.000000,14.000000,0.152873,0.229173,0.032724
7.000000,6.000000,18.000000,0.070551,0.142143,0.020297
7.000000,6.000000,24.000000,0.046389,0.144803,0.020676
7.000000,6.000000,28.000000,0.033256,0.229843,0.032819
8.000000,0.000000,2.000000,0.589426,0.698560,0.099802
8.000000,0.000000,8.000000,0.154433,0.224645,0.032095
8.000000,0.000000,14.000000,0.080205,0.150933,0.021564
8.000000,0.000000,18.000000,0.089056,0.232896,0.033273
8.000000,0.000000,24.000000,0.082026,0.208081,0.029728
8.000000,0.000000,28.000000,0.039181,0.272091,0.038873
8.000000,1.000000,2.000000,0.469296,0.467349,0.066769
8.000000,1.000000,8.000000,0.190854,0.208863,0.029840
8.000000,1.000000,14.000000,0.089011,0.156614,0.022375
8.000000,1.000000,18.000000,0.060131,0.155578,0.022227
8.000000,1.000000,24.000000,0.058534,0.286380,0.040915
8.000000,1.000000,28.000000,0.042790,0.348317,0.049763
8.000000,2.000000,2.000000,0.540198,0.582414,0.083208
8.000000,2.000000,8.000000,0.190500,0.279946,0.039995
8.000000,2.000000,14.000000,0.095668,0.182594,0.026087
8.000000,2.000000,18.000000,0.051062,0.173176,0.024741
8.000000,2.000000,24.000000,0.050778,0.348359,0.049769
8.000000,2.000000,28.000000,0.047781,0.318671,0.045528
8.000000,3.000000,2.000000,0.605863,0.593601,0.084807
8.000000,3.000000,8.000000,0.164178,0.214501,0.030645
8.000000,3.000000,14.000000,0.113772,0.175147,0.025023
8.000000,3.000000,18.000000,0.065486,0.157364,0.022482
8.000000,3.000000,24.000000,0.058113,0.311834,0.044551
8.000000,3.000000,28.000000,0.075034,0.259152,0.037025
8.000000,4.000000,2.000000,0.563735,0.446076,0.063730
8.000000,4.000000,8.000000,0.181134,0.174864,0.024982
8.000000,4.000000,14.000000,0.140356,0.165215,0.023604
8.000000,4.000000,18.000000,0.068758,0.163099,0.023302
8.000000,4.000000,24.000000,0.046167,0.216148,0.030881
8.000000,4.000000,28.000000,0.081945,0.182548,0.026080
8.000000,5.000000,2.000000,0.646538,0.714697,0.102108
8.000000,5.000000,8.000000,0.206609,0.258446,0.036924
8.000000,5.000000,14.000000,0.087532,0.141108,0.020160
8.000000,5.000000,18.000000,0.080066,0.201671,0.028812
8.000000,5.000000,24.000000,0.047868,0.246424,0.035206
8.000000,5.000000,28.000000,0.038894,0.202299,0.028902
8.000000,6.000000,2.000000,0.539282,0.592603,0.084618
8.000000,6.000000,8.000000,0.149577,0.241204,0.034442
8.000000,6.000000,14.000000,0.110760,0.168116,0.024005
8.000000,6.000000,18.000000,0.055379,0.229414,0.032758
8.000000,6.000000,24.000000,0.039889,0.183777,0.026242
8.000000,6.000000,28.000000,0.035250,0.247156,0.035292
9.000000,0.000000,2.000000,0.574902,0.665321,0.095053
9.000000,0.000000,8.000000,0.223035,0.338537,0.048366
9.000000,0.000000,14.000000,0.082498,0.177999,0.025430
9.000000,0.000000,18.000000,0.066643,0.252578,0.036085
9.000000,0.000000,24.000000,0.057939,0.391615,0.055949
9.000000,0.000000,28.000000,0.034188,0.268082,0.038300
9.000000,1.000000,2.000000,0.549308,0.530351,0.075770
9.000000,1.000000,8.000000,0.184991,0.251919,0.035991
9.000000,1.000000,14.000000,0.162252,0.224789,0.032115
